Player,Group,Team,Matches,Batting,Bowling,Fielding,Other,MOM,Total
Tehreem Raza,F,Grey Caps Aachen,5,424,59,38,25,1,546
Ahmadzia Ahmadzai,C,Blackcaps Bulls,5,26,411,44,50,2,531
Tharun Pammi Chakkarapani,B,Westfalen Royals,6,298,113,24,50,2,485
Gaurav Gupta,D,Blackcaps Bisons,5,128,296,8,50,2,482
Tejas Morbagal Harish,F,Koeln Kings,5,263,153,20,25,1,461
Sakeshkanth Indran,B,SC Krefeld Boosters,5,337,0,68,25,1,430
Ajabkhan Zurmatai,F,Köln City Falcons CC,6,195,173,52,0,0,420
Thanushan Kanakaratnam,A,Lemgo Warriors,4,211,134,8,25,1,378
Balaganesh Rameshkumar,A,Lemgo Warriors,4,149,171,24,25,1,369
Sayed Yasir Hussain,A,TUS Borgholzhausen,5,116,183,34,25,1,358
Venkatraman Ganesan,C,Blackcaps Bulls,4,206,99,0,50,2,355
Taha Hassan,E,SC Krefeld Spartans,5,65,234,24,25,1,348
Ramanan (Mahintha) Kumar,B,SC Krefeld Boosters,5,-4,301,16,25,1,338
Abdul Rahim Fazal,C,Moenchengladbach,4,48,253,12,25,1,338
Ababaker Armani,A,Soest Strikers,3,155,142,8,25,1,330
Ali Muhmad,A,TUS Borgholzhausen,5,78,226,0,25,1,329
Atta Muhammad Shirzad,C,Bonn Golden Stars,4,109,174,18,25,1,326
Ameya Deshpande,D,Bonn Blue Stars United,4,188,67,44,25,1,324
Saadat Alkozai,B,Lenkerbeck Marl,5,108,187,0,25,1,320
Ashik Rahuman,D,Koeln Blasters,6,147,119,50,0,0,316
Jagandeep Singh,F,Köln City Falcons CC,5,80,179,28,25,1,312
Abdulghani Safi,A,TUS Borgholzhausen,5,9,215,62,25,1,311
Arfan Malik,B,Lenkerbeck Marl,5,109,174,28,0,0,311
Mohammed Rahim,F,Köln City Falcons CC,4,94,183,8,25,1,310
Deepak Demiwal,F,Köln City Falcons CC,6,285,0,0,25,1,310
Omair Ahmed Chaudhry,B,Lenkerbeck Marl,5,170,114,0,25,1,309
Nangialai Babarzai,A,Soest Strikers,4,157,97,28,25,1,307
Adam Mangal,E,Bonn Blue Stars,5,105,177,24,0,0,306
Rohit Narayanan,F,Challengers,6,256,0,24,25,1,305
Varun Ravula,D,Strass Rising Stars,4,173,130,0,0,0,303
Ahmed Ullah,E,CICC 1,4,152,118,8,25,1,303
Eisa Mohammad,B,Moers United,4,143,134,0,25,1,302
Irtiza Ali,C,Moers Hawks,5,94,194,8,0,0,296
Haseeb Ullah Sajjad,C,Moers Hawks,5,127,144,0,25,1,296
Kaushik Ameer,C,Bonn CC Blue,4,158,76,32,25,1,291
Zohaib Hussain,F,Gelsenkirchen United,8,39,152,74,25,1,290
Manjot Singh,E,SC Krefeld Spartans,4,149,127,8,0,0,284
Omed Rafiqi,C,Moenchengladbach,4,7,268,8,0,0,283
Rajakulasingam Thinesh,B,SC Krefeld Boosters,5,134,118,28,0,0,280
Bhupender Singh,E,Avengers,4,212,67,0,0,0,279
Ayush Yadav,F,DWCC,6,118,147,14,0,0,279
Ajith Jacob,B,Westfalen Royals,5,133,113,32,0,0,278
Kausar Agha,E,CICC 1,4,10,217,24,25,1,276
Vikesh Subramoniam,E,Blackcaps Legends,4,73,201,0,0,0,274
Akshay Gupta,A,Lemgo Leopards,3,73,131,44,25,1,273
Ahmad Reshad Sayad,E,Muelheim 1,4,139,88,16,25,1,268
Irfan Ahmed,F,Koeln Kings,6,252,0,14,0,0,266
Shreyas Pande,D,Koeln Blasters,5,69,148,24,25,1,266
Vamsi Kiran Kompella,D,Blackcaps Bisons,5,128,79,32,25,1,264
Elyas Arian,C,Moenchengladbach,4,76,166,20,0,0,262
